"Name","model_name","ID","Notes","State","censor_dynamic","censor_level","censored","covariates","forecast_lead","hidden_dim","learning_rate","log_every_n_steps","logger","loss","max_epochs","max_steps","mode","move_metrics_to_cpu","multiple_trainloader_mode","no_self_loops","num_nodes","num_sanity_val_steps","overfit_batches","precision","reload_dataloaders_every_n_epochs","replace_sampler_ddp","save_predictions","sequence_length","sync_batchnorm","test_end","track_grad_norm","train_end","train_start","val_end","weight_decay","cluster","epoch","test_loss","test_loss_true","test_mae","test_mse","test_rmse","train_loss","train_loss_true","train_mae","train_mse","train_rmse","trainer/global_step","val_loss","val_loss_true","val_mae","val_mse","val_rmse"
"celestial-dream-443","AR","rupyann0","-","finished","true","2","true","false","48","","0.0005927787748490534","50","true","CPNLL","30","-1","train","false","max_size_cycle","","1","2","0","32","0","true","false","336","false","2019-07-01","-1","2018-10-01","2017-01-01","2019-04-01","0.06470644058196104","WEBSTER","30","1.112429976463318","-0.008313902653753757","1.0614278316497805","2.0491769313812256","1.3627991676330566","1.048095941543579","-0.6451718807220459","1.2392443418502808","2.777357578277588","1.615827560424805","28410","1.0478602647781372","-0.1721189320087433","1.0928294658660889","2.23224139213562","1.402163028717041"
"smart-breeze-442","AR","303pas9t","-","finished","true","2","true","false","48","","0.0005927787748490534","50","true","CPNLL","30","-1","train","false","max_size_cycle","","1","2","0","32","0","true","false","336","false","2019-07-01","-1","2018-10-01","2017-01-01","2019-04-01","0.06470644058196104","HIGH","30","1.3962663412094116","-0.15990398824214935","1.1810847520828247","2.4475207328796387","1.485561490058899","1.3748726844787598","-0.5859718918800354","1.2882721424102783","3.303356170654297","1.7624738216400146","28410","1.394208312034607","-0.21660825610160828","1.1629865169525146","2.412916660308838","1.4630303382873535"
"neat-durian-441","AR","awmejk0k","-","finished","true","2","true","false","48","","0.0005927787748490534","50","true","CPNLL","30","-1","train","false","max_size_cycle","","1","2","0","32","0","true","false","336","false","2019-07-01","-1","2018-10-01","2017-01-01","2019-04-01","0.06470644058196104","TED","30","1.3363502025604248","0.25558942556381226","1.103386402130127","2.70358943939209","1.438280701637268","1.035536527633667","0.7446119785308838","0.7222950458526611","1.0024930238723757","0.9648314118385316","28410","1.285967469215393","0.216067835688591","1.1961243152618408","3.507380962371826","1.6069666147232056"
"good-bird-440","AR","b6iboo6t","-","finished","true","2","true","false","48","","0.0005927787748490534","50","true","CPNLL","30","-1","train","false","max_size_cycle","","1","2","0","32","0","true","false","336","false","2019-07-01","-1","2018-10-01","2017-01-01","2019-04-01","0.06470644058196104","HAMILTON","30","0.6108192205429077","0.7101233601570129","1.1096603870391846","2.2345564365386963","1.427094340324402","0.6439358592033386","0.6941843628883362","1.0580360889434814","2.105328321456909","1.406250238418579","28410","0.6607147455215454","0.7444299459457397","1.1102287769317627","2.2450857162475586","1.4113622903823853"
"olive-meadow-439","AR","g5ubjdpz","-","finished","true","2","true","false","48","","0.0005927787748490534","50","true","CPNLL","30","-1","train","false","max_size_cycle","","1","2","0","32","0","true","false","336","false","2019-07-01","-1","2018-10-01","2017-01-01","2019-04-01","0.06470644058196104","RINCONADA","30","0.9653194546699524","0.8961190581321716","0.7167641520500183","0.7349833250045776","0.8314551711082458","0.8760339021682739","0.7997642755508423","0.7510630488395691","0.8699565529823303","0.9181654453277588","28410","1.0127922296524048","0.944174826145172","0.7133355736732483","0.7384205460548401","0.8275496363639832"
"floral-capybara-438","AR","9ndsf84g","-","finished","true","2","true","false","48","","0.0005927787748490534","50","true","CPNLL","30","-1","train","false","max_size_cycle","","1","2","0","32","0","true","false","336","false","2019-07-01","-1","2018-10-01","2017-01-01","2019-04-01","0.06470644058196104","CAMBRIDGE","30","1.6294398307800293","-0.49966341257095337","1.3600163459777832","4.033219814300537","1.8274470567703247","1.0492439270019531","0.38731297850608826","1.1094361543655396","2.080083131790161","1.4191060066223145","28410","1.5432509183883667","-0.049986161291599274","1.281274676322937","3.65653657913208","1.6893417835235596"
"worthy-grass-437","AR","tai1vqro","-","finished","true","2","true","false","48","","0.0005927787748490534","50","true","CPNLL","30","-1","train","false","max_size_cycle","","1","2","0","32","0","true","false","336","false","2019-07-01","-1","2018-10-01","2017-01-01","2019-04-01","0.06470644058196104","MPL","30","0.898010790348053","0.8305763006210327","0.7443581223487854","0.7937906980514526","0.8673501014709473","1.0431525707244873","0.46901318430900574","0.906979203224182","1.3919014930725098","1.1570777893066406","28410","0.8958154320716858","0.8281208872795105","0.7319456338882446","0.7635625004768372","0.8529185652732849"
"sleek-sound-436","AR","1rlzw28x","-","finished","true","2","true","false","48","","0.0005927787748490534","50","true","CPNLL","30","-1","train","false","max_size_cycle","","1","2","0","32","0","true","false","336","false","2019-07-01","-1","2018-10-01","2017-01-01","2019-04-01","0.06470644058196104","BRYANT","30","1.4573040008544922","-0.5195596218109131","1.319130301475525","3.3831984996795654","1.7121145725250244","1.3855570554733276","-0.2276667356491089","1.1537209749221802","2.7457568645477295","1.6153457164764404","28410","1.4415326118469238","-0.7714962959289551","1.3503021001815796","3.660640001296997","1.7668901681900024"
"colorful-snow-435","AR","dz8ahfb0","-","finished","true","2","true","false","48","","0.0005927787748490534","50","true","CPNLL","30","-1","train","false","max_size_cycle","","1","2","0","32","0","true","false","336","false","2019-07-01","-1","2018-10-01","2017-01-01","2019-04-01","0.06470644058196104","WEBSTER","30","1.169891119003296","0.10112201422452928","1.28620183467865","3.0729100704193115","1.6404449939727783","1.0536339282989502","-0.6326979994773865","1.2699986696243286","2.9393134117126465","1.6518701314926147","28410","1.101580262184143","-0.0449104905128479","1.375170350074768","3.611712694168091","1.7597925662994385"
"wild-durian-434","AR","s2d2pgs8","-","finished","true","2","true","false","48","","0.0005927787748490534","50","true","CPNLL","30","-1","train","false","max_size_cycle","","1","2","0","32","0","true","false","336","false","2019-07-01","-1","2018-10-01","2017-01-01","2019-04-01","0.06470644058196104","HIGH","30","1.4000743627548218","-0.156660258769989","1.1735504865646362","2.524310827255249","1.5002862215042114","1.377369999885559","-0.5804769992828369","1.2988132238388062","3.343879461288452","1.7760169506072998","28410","1.3908815383911133","-0.22159318625926971","1.1468106508255005","2.424600124359131","1.4620624780654907"
"light-sponge-433","AR","b6dd47a7","-","finished","true","2","true","false","48","","0.0005927787748490534","50","true","CPNLL","30","-1","train","false","max_size_cycle","","1","2","0","32","0","true","false","336","false","2019-07-01","-1","2018-10-01","2017-01-01","2019-04-01","0.06470644058196104","TED","30","1.4063665866851809","0.3352345824241638","1.2697761058807373","3.5977935791015625","1.6850756406784058","1.0348572731018066","0.7424209713935852","0.7189197540283203","0.989549994468689","0.9576078057289124","28410","1.373253583908081","0.31125688552856445","1.3732744455337524","4.529024124145508","1.85917866230011"
"stellar-universe-432","AR","m1du9nb6","-","finished","true","2","true","false","48","","0.0005927787748490534","50","true","CPNLL","30","-1","train","false","max_size_cycle","","1","2","0","32","0","true","false","336","false","2019-07-01","-1","2018-10-01","2017-01-01","2019-04-01","0.06470644058196104","HAMILTON","30","0.603570282459259","0.6975159049034119","1.087189793586731","2.266495943069458","1.432533621788025","0.6447581052780151","0.6950226426124573","1.0599052906036377","2.105427503585815","1.4000365734100342","28410","0.6525871157646179","0.7311503887176514","1.081152081489563","2.2541699409484863","1.4074866771697998"
"lucky-wildflower-431","AR","58lep06x","-","finished","true","2","true","false","48","","0.0005927787748490534","50","true","CPNLL","30","-1","train","false","max_size_cycle","","1","2","0","32","0","true","false","336","false","2019-07-01","-1","2018-10-01","2017-01-01","2019-04-01","0.06470644058196104","RINCONADA","30","0.9602087140083312","0.886831521987915","0.6975588798522949","0.712177574634552","0.8124194741249084","0.8737500905990601","0.7958648204803467","0.7417111992835999","0.8459951281547546","0.907007336616516","28410","1.012462854385376","0.9372440576553344","0.7005134224891663","0.7149988412857056","0.809911847114563"
"radiant-elevator-430","AR","j87mewid","-","finished","true","2","true","false","48","","0.0005927787748490534","50","true","CPNLL","30","-1","train","false","max_size_cycle","","1","2","0","32","0","true","false","336","false","2019-07-01","-1","2018-10-01","2017-01-01","2019-04-01","0.06470644058196104","WEBSTER","30","1.138457179069519","0.020309023559093475","1.1049535274505615","2.1478023529052734","1.3900057077407837","1.0501093864440918","-0.6361272931098938","1.258281707763672","2.9087820053100586","1.6442891359329224","28410","1.0759717226028442","-0.13744108378887177","1.1491204500198364","2.370248556137085","1.44878888130188"
"scarlet-donkey-429","AR","ue8rtzm3","-","finished","true","2","true","false","48","","0.0005927787748490534","50","true","CPNLL","30","-1","train","false","max_size_cycle","","1","2","0","32","0","true","false","336","false","2019-07-01","-1","2018-10-01","2017-01-01","2019-04-01","0.06470644058196104","CAMBRIDGE","30","1.666551113128662","-0.46303418278694153","1.37301766872406","4.008796215057373","1.8411470651626587","1.051992416381836","0.3903277516365051","1.1126917600631714","2.098090648651123","1.4245243072509766","28410","1.549752950668335","-0.04356836527585983","1.2769050598144531","3.647951364517212","1.705207109451294"
"stellar-eon-428","AR","bfr0vl8z","-","finished","true","2","true","false","48","","0.0005927787748490534","50","true","CPNLL","30","-1","train","false","max_size_cycle","","1","2","0","32","0","true","false","336","false","2019-07-01","-1","2018-10-01","2017-01-01","2019-04-01","0.06470644058196104","HIGH","30","1.4339009523391724","-0.13495086133480072","1.162292718887329","2.379901647567749","1.4734073877334597","1.3813468217849731","-0.5736037492752075","1.3113982677459717","3.5163931846618652","1.8056379556655884","28410","1.4240220785140991","-0.1947621554136276","1.156978964805603","2.390310764312744","1.4569220542907717"
"summer-meadow-427","AR","6kzfvpxy","-","finished","true","2","true","false","48","","0.0005927787748490534","50","true","CPNLL","30","-1","train","false","max_size_cycle","","1","2","0","32","0","true","false","336","false","2019-07-01","-1","2018-10-01","2017-01-01","2019-04-01","0.06470644058196104","MPL","30","0.8984448909759521","0.8257224559783936","0.7380716800689697","0.7717738151550293","0.858016848564148","1.0445650815963743","0.47093522548675537","0.9111760854721068","1.4168481826782229","1.1653542518615725","28410","0.8971887230873108","0.8235234022140503","0.7261248230934143","0.7449750900268555","0.8444903492927551"
"legendary-glitter-426","AR","ug4wfvo7","-","finished","true","2","true","false","48","","0.0005927787748490534","50","true","CPNLL","30","-1","train","false","max_size_cycle","","1","2","0","32","0","true","false","336","false","2019-07-01","-1","2018-10-01","2017-01-01","2019-04-01","0.06470644058196104","TED","30","1.3072550296783447","0.2123614251613617","0.9842783808708192","1.9492095708847048","1.276477932929993","1.0347013473510742","0.7433650493621826","0.7214761972427368","0.998671054840088","0.9632127285003662","28410","1.2441399097442627","0.1516754925251007","1.0488648414611816","2.473165512084961","1.3985567092895508"
